COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;23/09/2023 05:47:58;23/09/2023 18:25:49;-22.634125;-50.086357;552.94;167.2;;BC_HYD_PRESS;last;;Numeric;;5265;KPA;5265
ACC000028047;CEQ000439555;7411;23/09/2023 05:46:58;23/09/2023 18:25:49;-22.63401;-50.086376;549.23;320.2;;BC_HYD_PRESS;last;;Numeric;;1820;KPA;1820
ACC000028047;CEQ000439555;7411;23/09/2023 05:31:55;23/09/2023 18:25:49;-22.6436;-50.088345;557.27;195.2;;BC_HYD_PRESS;last;;Numeric;;5880;KPA;5880
ACC000028047;CEQ000439555;7411;23/09/2023 05:16:53;23/09/2023 18:25:49;-22.639526;-50.087048;556.67;10.6;;BC_HYD_PRESS;last;;Numeric;;3250;KPA;3250
ACC000028047;CEQ000439555;7411;23/09/2023 05:01:51;23/09/2023 18:25:49;-22.644066;-50.088524;560.19;193.2;;BC_HYD_PRESS;last;;Numeric;;4630;KPA;4630
ACC000028047;CEQ000439555;7411;23/09/2023 05:00:50;23/09/2023 18:25:49;-22.643415;-50.088318;557.07;0;;BC_HYD_PRESS;last;;Numeric;;1785;KPA;1785
ACC000028047;CEQ000439555;7411;23/09/2023 04:47:48;23/09/2023 18:25:49;-22.635958;-50.086517;560.56;8.1;;BC_HYD_PRESS;last;;Numeric;;5105;KPA;5105
ACC000028047;CEQ000439555;7411;24/09/2023 03:03:58;24/09/2023 07:46:28;-22.639936;-50.0848;577.43;11;;BC_HYD_PRESS;last;;Numeric;;430;KPA;430
ACC000028047;CEQ000439555;7411;24/09/2023 14:22:00;24/09/2023 17:49:30;-22.636116;-50.081467;571.57;250.9;;BC_HYD_PRESS;last;;Numeric;;5360;KPA;5360
ACC000028047;CEQ000439555;7411;22/09/2023 11:47:01;22/09/2023 15:11:55;-22.637897;-50.092102;544.44;0;;BC_HYD_PRESS;last;;Numeric;;430;KPA;430
ACC000028047;CEQ000439555;7411;22/09/2023 09:26:45;22/09/2023 12:33:01;-22.639233;-50.09202;533.02;0;;BC_HYD_PRESS;last;;Numeric;;385;KPA;385
ACC000028047;CEQ000439555;7411;24/09/2023 07:17:58;24/09/2023 10:26:12;-22.636862;-50.083637;556.53;0;;BC_HYD_PRESS;last;;Numeric;;430;KPA;430
ACC000028047;CEQ000439555;7411;24/09/2023 07:09:57;24/09/2023 10:26:12;-22.635778;-50.082546;556.37;52.1;;BC_HYD_PRESS;last;;Numeric;;6020;KPA;6020
ACC000028047;CEQ000439555;7411;24/09/2023 06:50:53;24/09/2023 10:26:12;-22.637543;-50.083954;559.48;199.8;;BC_HYD_PRESS;last;;Numeric;;5365;KPA;5365
ACC000028047;CEQ000439555;7411;24/09/2023 06:37:52;24/09/2023 10:26:12;-22.640255;-50.08458;556.02;13.7;;BC_HYD_PRESS;last;;Numeric;;4185;KPA;4185
ACC000028047;CEQ000439555;7411;23/09/2023 19:09:04;24/09/2023 05:35:36;-22.63941;-50.086258;573.31;188.4;;BC_HYD_PRESS;last;;Numeric;;5635;KPA;5635
ACC000028047;CEQ000439555;7411;23/09/2023 18:48:58;24/09/2023 00:09:57;-22.635265;-50.085575;552.85;7.7;;BC_HYD_PRESS;last;;Numeric;;5570;KPA;5570
ACC000028047;CEQ000439555;7411;23/09/2023 18:47:58;24/09/2023 00:09:57;-22.636559;-50.085808;552.26;9.3;;BC_HYD_PRESS;last;;Numeric;;5920;KPA;5920
